국가별,시점,디플레이터
스웨덴,2000,83.8
스웨덴,2001,85.9
스웨덴,2002,87.2
스웨덴,2003,88.7
스웨덴,2004,89
스웨덴,2005,89.6
스웨덴,2006,91.2
스웨덴,2007,93.7
스웨덴,2008,96.8
스웨덴,2009,99.1
스웨덴,2010,100
스웨덴,2011,101.1
스웨덴,2012,102.1
스웨덴,2013,103
스웨덴,2014,104.8
스웨덴,2015,107.1
스웨덴,2016,108.7
스웨덴,2017,111
스웨덴,2018,113.7
스웨덴,2019,116.6
스웨덴,2020,118.2
스위스,2000,90.6
스위스,2001,91.5
스위스,2002,91.3
스위스,2003,92.4
스위스,2004,92.7
스위스,2005,93.5
스위스,2006,95.5
스위스,2007,97.8
스위스,2008,99.3
스위스,2009,99.7
스위스,2010,100
스위스,2011,100
스위스,2012,100
스위스,2013,99.9
스위스,2014,99.4
스위스,2015,98.2
스위스,2016,97.6
스위스,2017,97.2
스위스,2018,97.9
스위스,2019,97.8
스위스,2020,97.3
영국,2000,80
영국,2001,80.9
영국,2002,82.6
영국,2003,84.5
영국,2004,86.7
영국,2005,89
영국,2006,91.5
영국,2007,94
영국,2008,96.9
영국,2009,98.4
영국,2010,100
영국,2011,102.1
영국,2012,103.8
영국,2013,105.6
영국,2014,107.4
영국,2015,108.1
영국,2016,110.5
영국,2017,112.6
영국,2018,115.1
영국,2019,117.6
유로지역,2000,82.8
유로지역,2001,84.8
유로지역,2002,86.9
유로지역,2003,88.8
유로지역,2004,90.5
유로지역,2005,92.2
유로지역,2006,94.1
유로지역,2007,96.5
유로지역,2008,98.4
유로지역,2009,99.3
유로지역,2010,100
유로지역,2011,101.1
유로지역,2012,102.4
유로지역,2013,103.6
유로지역,2014,104.6
유로지역,2015,106.1
유로지역,2016,107.1
유로지역,2017,108.2
유로지역,2018,109.7
유로지역,2019,111.6
유로지역,2020,113.3
오세아니아,2000,
오세아니아,2001,
오세아니아,2002,
오세아니아,2003,
오세아니아,2004,
오세아니아,2005,
오세아니아,2006,
오세아니아,2007,
오세아니아,2008,
오세아니아,2009,
오세아니아,2010,
오세아니아,2011,
오세아니아,2012,
오세아니아,2013,
오세아니아,2014,
오세아니아,2015,
오세아니아,2016,
오세아니아,2017,
오세아니아,2018,
오세아니아,2019,
오세아니아,2020,
오스트레일리아,2000,68
오스트레일리아,2001,70.3
오스트레일리아,2002,72.6
오스트레일리아,2003,74.8
오스트레일리아,2004,77.5
오스트레일리아,2005,81
오스트레일리아,2006,85.1
오스트레일리아,2007,88.8
오스트레일리아,2008,94.6
오스트레일리아,2009,94.8
오스트레일리아,2010,100
오스트레일리아,2011,104.8
오스트레일리아,2012,104.1
오스트레일리아,2013,105.5
오스트레일리아,2014,105.9
오스트레일리아,2015,105.2
오스트레일리아,2016,106.3
오스트레일리아,2017,110.1
오스트레일리아,2018,112.6
오스트레일리아,2019,116.3
오스트레일리아,2020,117.5
뉴질랜드,2000,77
뉴질랜드,2001,80.3
뉴질랜드,2002,80.8
뉴질랜드,2003,81.9
뉴질랜드,2004,84.7
뉴질랜드,2005,86.8
뉴질랜드,2006,88.8
뉴질랜드,2007,92.7
뉴질랜드,2008,96.3
뉴질랜드,2009,97.2
뉴질랜드,2010,100
뉴질랜드,2011,102.9
뉴질랜드,2012,102.5
뉴질랜드,2013,105.9
뉴질랜드,2014,108.3
뉴질랜드,2015,108.5
뉴질랜드,2016,110.5
뉴질랜드,2017,114.2
뉴질랜드,2018,115.6
뉴질랜드,2019,118.2
뉴질랜드,2020,120.6
