국가별,시점,외환보유액,금제외
스웨덴,2011,50349,44025
스웨덴,2012,52234,45519
스웨덴,2013,65383,60495
스웨덴,2014,62499,57704
스웨덴,2015,58107,53814
스웨덴,2016,59386,54730
스웨덴,2017,62216,56951
스웨덴,2018,60567,55386
스웨덴,2019,55490,49354
스웨덴,2020,58279,50617
스위스,1995,46760,36413
스위스,1996,47274,38433
스위스,1997,47210,39028
스위스,1998,49858,41191
스위스,1999,43785,36321
스위스,2000,53491,32272
스위스,2001,51670,32006
스위스,2002,61311,40155
스위스,2003,69585,47652
스위스,2004,74619,55497
스위스,2005,57640,36297
스위스,2006,64497,38094
스위스,2007,75372,44474
스위스,2008,74074,45061
스위스,2009,135255,98199
스위스,2010,270296,223481
스위스,2011,331872,279390
스위스,2012,531050,475659
스위스,2013,535851,495958
스위스,2014,545529,505463
스위스,2015,602709,566960
스위스,2016,679359,640594
스위스,2017,811196,767680
스위스,2018,786971,744167
스위스,2019,854804,804004
스위스,2020,1083481,1020172
영국,1995,47258,42016
영국,1996,45373,39896
영국,1997,37126,32317
영국,1998,37290,32212
영국,1999,46188,40224
영국,2000,50911,46638
영국,2001,47417,44259
영국,2002,54959,51500
영국,2003,56350,52148
