국가별,시점,생산자물가지수
포르투갈,2002,86.2
포르투갈,2003,87
포르투갈,2004,89.3
포르투갈,2005,92.2
포르투갈,2006,96.7
포르투갈,2007,98.9
포르투갈,2008,103.6
포르투갈,2009,97.1
포르투갈,2010,100
포르투갈,2011,105.8
포르투갈,2012,109.8
포르투갈,2013,109
포르투갈,2014,107
포르투갈,2015,103.5
포르투갈,2016,100.7
포르투갈,2017,104.1
포르투갈,2018,106.9
포르투갈,2019,106.9
포르투갈,2020,102.4
슬로바키아,2000,82.5
슬로바키아,2001,88
슬로바키아,2002,89.8
슬로바키아,2003,97.3
슬로바키아,2004,99
슬로바키아,2005,102.5
슬로바키아,2006,105.8
슬로바키아,2007,104.6
슬로바키아,2008,106.9
슬로바키아,2009,99.5
슬로바키아,2010,100
슬로바키아,2011,104.6
슬로바키아,2012,106.4
슬로바키아,2013,105.4
슬로바키아,2014,101.8
슬로바키아,2015,98.8
슬로바키아,2016,94.9
슬로바키아,2017,97.2
슬로바키아,2018,99.7
슬로바키아,2019,101.6
슬로바키아,2020,101.1
슬로베니아,2000,76.4
슬로베니아,2001,81.8
슬로베니아,2002,84.8
슬로베니아,2003,85.8
슬로베니아,2004,88
슬로베니아,2005,89.7
슬로베니아,2006,91.7
슬로베니아,2007,95.6
슬로베니아,2008,99.2
슬로베니아,2009,97.9
슬로베니아,2010,100
슬로베니아,2011,104.5
슬로베니아,2012,105.4
슬로베니아,2013,105.5
슬로베니아,2014,104.8
슬로베니아,2015,104.6
슬로베니아,2016,103.2
슬로베니아,2017,105.4
슬로베니아,2018,107.6
슬로베니아,2019,108.3
슬로베니아,2020,108
스페인,2000,78.3
스페인,2001,79.6
스페인,2002,79.9
스페인,2003,80.5
스페인,2004,83
스페인,2005,86.8
스페인,2006,91.2
스페인,2007,94.1
스페인,2008,99.5
스페인,2009,96.2
스페인,2010,100
스페인,2011,106.5
스페인,2012,110
스페인,2013,110
스페인,2014,108.4
스페인,2015,106.8
스페인,2016,103.9
스페인,2017,108.2
스페인,2018,110.8
스페인,2019,110.5
스페인,2020,106.5
스웨덴,2000,71.6
스웨덴,2001,76.7
스웨덴,2002,79.4
스웨덴,2003,80.4
스웨덴,2004,82.5
스웨덴,2005,84
스웨덴,2006,85.9
스웨덴,2007,89.5
스웨덴,2008,93
스웨덴,2009,91.7
스웨덴,2010,100
스웨덴,2011,100.4
스웨덴,2012,99.4
스웨덴,2013,96.6
스웨덴,2014,98
스웨덴,2015,98
스웨덴,2016,97.1
스웨덴,2017,102.1
스웨덴,2018,108.9
스웨덴,2019,112.1
스웨덴,2020,108.3
스위스,2000,92.9
스위스,2001,93.3
스위스,2002,92.9
스위스,2003,92.9
스위스,2004,93.5
스위스,2005,94.5
스위스,2006,96.5
스위스,2007,98.7
스위스,2008,101.7
스위스,2009,100.2
스위스,2010,100
스위스,2011,98.8
스위스,2012,98.3
스위스,2013,98.5
스위스,2014,97.7
스위스,2015,94.2
스위스,2016,92.8
스위스,2017,92.4
스위스,2018,93.7
스위스,2019,93.4
스위스,2020,92
영국,2000,70
영국,2001,70.1
영국,2002,69.8
영국,2003,69.9
영국,2004,71.7
영국,2005,77.4
영국,2006,82.4
영국,2007,83.7
영국,2008,96
영국,2009,95.4
영국,2010,100
영국,2011,109.1
영국,2012,111.7
영국,2013,115.3
영국,2014,106.8
영국,2015,99.7
영국,2016,101.7
영국,2017,107.9
영국,2018,111.9
영국,2019,112.8
유로지역,2000,83.1
유로지역,2001,86.1
유로지역,2002,85.1
유로지역,2003,86.1
유로지역,2004,87.6
유로지역,2005,90.8
유로지역,2006,94.9
유로지역,2007,96.9
유로지역,2008,101.8
유로지역,2009,97.2
유로지역,2010,100
유로지역,2011,105.1
유로지역,2012,107.6
유로지역,2013,107.1
유로지역,2014,105.7
유로지역,2015,104
유로지역,2016,102
유로지역,2017,104.8
오세아니아,2000,
오세아니아,2001,
오세아니아,2002,
오세아니아,2003,
오세아니아,2004,
오세아니아,2005,
오세아니아,2006,
오세아니아,2007,
오세아니아,2008,
오세아니아,2009,
오세아니아,2010,
오세아니아,2011,
오세아니아,2012,
오세아니아,2013,
오세아니아,2014,
오세아니아,2015,
오세아니아,2016,
오세아니아,2017,
오세아니아,2018,
오세아니아,2019,
오세아니아,2020,
오스트레일리아,2000,72.3
오스트레일리아,2001,74.5
오스트레일리아,2002,74.7
오스트레일리아,2003,73.8
오스트레일리아,2004,79.4
오스트레일리아,2005,84.2
오스트레일리아,2006,89.4
오스트레일리아,2007,91.4
오스트레일리아,2008,98.8
오스트레일리아,2009,93.4
오스트레일리아,2010,100
오스트레일리아,2011,108.9
오스트레일리아,2012,113
오스트레일리아,2013,112.4
오스트레일리아,2014,108.5
오스트레일리아,2015,103.1
오스트레일리아,2016,101.7
오스트레일리아,2017,110.3
오스트레일리아,2018,116
오스트레일리아,2019,117.2
오스트레일리아,2020,112.9
뉴질랜드,2000,73.1
뉴질랜드,2001,77.5
뉴질랜드,2002,77.6
뉴질랜드,2003,77
뉴질랜드,2004,78.5
뉴질랜드,2005,82.1
뉴질랜드,2006,87.2
뉴질랜드,2007,89.3
뉴질랜드,2008,98.9
뉴질랜드,2009,97.4
뉴질랜드,2010,100
뉴질랜드,2011,104.7
뉴질랜드,2012,105.8
뉴질랜드,2013,107.4
뉴질랜드,2014,107.4
뉴질랜드,2015,105.1
뉴질랜드,2016,105.6
뉴질랜드,2017,110.4
뉴질랜드,2018,115
뉴질랜드,2019,117.6
뉴질랜드,2020,117.6
