국가별,시점,경제활동참가율 (%)
스페인,2003,54.9
스페인,2004,55.9
스페인,2005,57.1
스페인,2006,58
스페인,2007,58.6
스페인,2008,59.4
스페인,2009,59.5
스페인,2010,59.6
스페인,2011,59.7
스페인,2012,59.8
스페인,2013,59.4
스페인,2014,58.9
스페인,2015,58.8
스페인,2016,58.5
스페인,2017,58.1
스페인,2018,57.9
스페인,2019,57.9
스페인,2020,56.7
스웨덴,2000,60.4
스웨덴,2001,62.7
스웨덴,2002,62.7
스웨덴,2003,62.8
스웨덴,2004,62.5
스웨덴,2005,62.9
스웨덴,2006,63.4
스웨덴,2007,63.7
스웨덴,2008,63.9
스웨덴,2009,63.3
스웨덴,2010,70.5
스웨덴,2011,70.9
스웨덴,2012,71.1
스웨덴,2013,71.5
스웨덴,2014,72
스웨덴,2015,72
스웨덴,2016,72.1
스웨덴,2017,72.7
스웨덴,2018,73
스웨덴,2019,73.4
스웨덴,2020,73.3
스위스,2000,67.4
스위스,2001,67.8
스위스,2002,67.7
스위스,2003,67.9
스위스,2004,67.3
스위스,2005,67
스위스,2006,67.4
스위스,2007,67.6
스위스,2008,68.2
스위스,2009,68.2
스위스,2010,67
스위스,2011,67.5
스위스,2012,67.5
스위스,2013,67.5
스위스,2014,67.9
스위스,2015,68.2
스위스,2016,68.6
스위스,2017,68.4
스위스,2018,68.5
스위스,2019,68.2
스위스,2020,67.9
영국,2000,61.9
영국,2001,61.6
영국,2002,61.8
영국,2003,61.9
영국,2004,61.9
영국,2005,62.3
영국,2006,62.7
영국,2007,62.5
영국,2008,62.8
영국,2009,62.6
영국,2010,62.4
영국,2011,62.3
영국,2012,62.5
영국,2013,62.6
영국,2014,62.7
영국,2015,62.8
영국,2016,62.9
영국,2017,62.9
영국,2018,63.1
영국,2019,63.2
오세아니아,2000,
오세아니아,2001,
오세아니아,2002,
오세아니아,2003,
오세아니아,2004,
오세아니아,2005,
오세아니아,2006,
오세아니아,2007,
오세아니아,2008,
오세아니아,2009,
오세아니아,2010,
오세아니아,2011,
오세아니아,2012,
오세아니아,2013,
오세아니아,2014,
오세아니아,2015,
오세아니아,2016,
오세아니아,2017,
오세아니아,2018,
오세아니아,2019,
오세아니아,2020,
오스트레일리아,2000,63.1
오스트레일리아,2001,63.3
오스트레일리아,2002,63.4
오스트레일리아,2003,63.6
오스트레일리아,2004,63.5
오스트레일리아,2005,64.4
오스트레일리아,2006,64.8
오스트레일리아,2007,65.2
오스트레일리아,2008,65.5
오스트레일리아,2009,65.4
오스트레일리아,2010,65.4
오스트레일리아,2011,65.4
오스트레일리아,2012,65.2
오스트레일리아,2013,64.9
오스트레일리아,2014,64.7
오스트레일리아,2015,65
오스트레일리아,2016,64.9
오스트레일리아,2017,65.2
오스트레일리아,2018,65.6
오스트레일리아,2019,66
오스트레일리아,2020,65
뉴질랜드,2000,65.2
뉴질랜드,2001,65.8
