국가별,시점,인당_국민총소득
슬로베니아,2011,24773
슬로베니아,2012,22283
슬로베니아,2013,23147
슬로베니아,2014,23929
슬로베니아,2015,20163
슬로베니아,2016,21021
슬로베니아,2017,22923
슬로베니아,2018,25636
슬로베니아,2019,25645
스페인,2000,14516
스페인,2001,14971
스페인,2002,16637
스페인,2003,21083
스페인,2004,24410
스페인,2005,25838
스페인,2006,27635
스페인,2007,31610
스페인,2008,34299
스페인,2009,31280
스페인,2010,29831
스페인,2011,30853
스페인,2012,27925
스페인,2013,28675
스페인,2014,29167
스페인,2015,25601
스페인,2016,26485
스페인,2017,28078
스페인,2018,30498
스페인,2019,29860
스웨덴,2000,29611
스웨덴,2001,27263
스웨덴,2002,29999
스웨덴,2003,37979
스웨덴,2004,43077
스웨덴,2005,43984
스웨덴,2006,47721
스웨덴,2007,55219
스웨덴,2008,57983
스웨덴,2009,47973
스웨덴,2010,54236
스웨덴,2011,61882
스웨덴,2012,59221
스웨덴,2013,62385
스웨덴,2014,61312
스웨덴,2015,52139
스웨덴,2016,52728
스웨덴,2017,55569
스웨덴,2018,56757
스웨덴,2019,54477
스웨덴,2020,54895
스위스,2000,41647
스위스,2001,41478
스위스,2002,43989
스위스,2003,53082
스위스,2004,58647
스위스,2005,61479
스위스,2006,63715
스위스,2007,65747
스위스,2008,69922
스위스,2009,73547
스위스,2010,81505
스위스,2011,92135
스위스,2012,88170
스위스,2013,89605
스위스,2014,89650
스위스,2015,86440
스위스,2016,83421
스위스,2017,81827
스위스,2018,84543
스위스,2019,85724
영국,2000,28248
영국,2001,27915
영국,2002,30393
영국,2003,34873
영국,2004,40706
영국,2005,42580
영국,2006,44535
영국,2007,50098
영국,2008,46574
영국,2009,38110
영국,2010,39132
영국,2011,41711
영국,2012,41471
영국,2013,41955
영국,2014,45901
영국,2015,43503
영국,2016,39637
영국,2017,39407
영국,2018,42003
영국,2019,41149
오세아니아,2000,
오세아니아,2001,
오세아니아,2002,
오세아니아,2003,
오세아니아,2004,
오세아니아,2005,
오세아니아,2006,
오세아니아,2007,
오세아니아,2008,
오세아니아,2009,
오세아니아,2010,
오세아니아,2011,
오세아니아,2012,
오세아니아,2013,
오세아니아,2014,
오세아니아,2015,
오세아니아,2016,
오세아니아,2017,
오세아니아,2018,
오세아니아,2019,
오세아니아,2020,
오스트레일리아,2000,21232
오스트레일리아,2001,19159
오스트레일리아,2002,19788
오스트레일리아,2003,23101
오스트레일리아,2004,29930
오스트레일리아,2005,33087
오스트레일리아,2006,34931
오스트레일리아,2007,38967
오스트레일리아,2008,47388
오스트레일리아,2009,41160
오스트레일리아,2010,49724
오스트레일리아,2011,59481
오스트레일리아,2012,65453
오스트레일리아,2013,66093
오스트레일리아,2014,60564
오스트레일리아,2015,55325
오스트레일리아,2016,48644
오스트레일리아,2017,52595
오스트레일리아,2018,55725
오스트레일리아,2019,53645
오스트레일리아,2020,51103
뉴질랜드,2000,12862
뉴질랜드,2001,13088
뉴질랜드,2002,15965
뉴질랜드,2003,20899
뉴질랜드,2004,24030
뉴질랜드,2005,25949
뉴질랜드,2006,24857
뉴질랜드,2007,30097
뉴질랜드,2008,28861
뉴질랜드,2009,26923
뉴질랜드,2010,31861
뉴질랜드,2011,36360
뉴질랜드,2012,37792
뉴질랜드,2013,40585
뉴질랜드,2014,42300
뉴질랜드,2015,37308
뉴질랜드,2016,39247
뉴질랜드,2017,42363
뉴질랜드,2018,43145
뉴질랜드,2019,42630
