국가별,시점,경상수지
슬로바키아,2016,-2432
슬로바키아,2017,-1853
슬로바키아,2018,-2293
슬로바키아,2019,-2842
슬로바키아,2020,-294
슬로베니아,1995,-75
슬로베니아,1996,55
슬로베니아,1997,51
슬로베니아,1998,-118
슬로베니아,1999,-697
슬로베니아,2000,-548
슬로베니아,2001,31
슬로베니아,2002,244
슬로베니아,2003,-216
슬로베니아,2004,-893
슬로베니아,2005,-681
슬로베니아,2006,-695
슬로베니아,2007,-2015
슬로베니아,2008,-2946
슬로베니아,2009,-545
슬로베니아,2010,-366
슬로베니아,2011,-431
슬로베니아,2012,600
슬로베니아,2013,1593
슬로베니아,2014,2549
슬로베니아,2015,1646
슬로베니아,2016,2143
슬로베니아,2017,3035
슬로베니아,2018,3229
슬로베니아,2019,3246
슬로베니아,2020,3957
스페인,1995,-1967
스페인,1996,-2234
스페인,1997,-830
스페인,1998,-7251
스페인,1999,-20662
스페인,2000,-25929
스페인,2001,-27556
스페인,2002,-26250
스페인,2003,-35105
스페인,2004,-58676
스페인,2005,-83910
스페인,2006,-111532
스페인,2007,-139290
스페인,2008,-145713
스페인,2009,-60422
스페인,2010,-52251
스페인,2011,-39977
스페인,2012,735
스페인,2013,27585
스페인,2014,22666
스페인,2015,24107
스페인,2016,39298
스페인,2017,36860
스페인,2018,27212
스페인,2019,29605
스페인,2020,9040
스웨덴,1995,4940
스웨덴,1996,5892
스웨덴,1997,7406
스웨덴,1998,9547
스웨덴,1999,10778
스웨덴,2000,11689
스웨덴,2001,14966
스웨덴,2002,12453
스웨덴,2003,19572
스웨덴,2004,22902
스웨덴,2005,23583
스웨덴,2006,34469
스웨덴,2007,39928
스웨덴,2008,40802
스웨덴,2009,25918
스웨덴,2010,29196
스웨덴,2011,31438
스웨덴,2012,30417
스웨덴,2013,30704
스웨덴,2014,24497
스웨덴,2015,16750
스웨덴,2016,12154
스웨덴,2017,16089
스웨덴,2018,14562
스웨덴,2019,29168
스웨덴,2020,30979
스위스,1995,20703
스위스,1996,19916
스위스,1997,25317
스위스,1998,25194
스위스,1999,28283
스위스,2000,30844
스위스,2001,20953
스위스,2002,23782
스위스,2003,42367
스위스,2004,55171
스위스,2005,52795
스위스,2006,60350
스위스,2007,46896
