국가별,시점,인당_GDP,부채비율,실업률,상품및서비스수입,상품및서비스수출,정치적안정성,규제의질,경상수지
멕시코,2013,10725.18359,36.5,4.91,2.118308623,1.37052225,23,67,-2.473243346
멕시코,2014,10928.91601,39.7,4.81,5.92076125,6.982396407,18,67,-1.933815394
멕시코,2015,9616.645558,43.9,4.31,5.921772861,8.414396545,21,65,-2.65218497
멕시코,2016,8744.515559,48.2,3.86,2.853234338,3.582349651,24,64,-2.262245283
멕시코,2017,9287.849587,46,3.42,6.360416243,4.162021335,18,64,-1.761847828
멕시코,2018,9686.984927,46,3.28,6.429857585,6.003685777,23,61,-2.053354302
멕시코,2019,9950.45008,45.1,3.48,-0.725802547,1.480122378,19,60,-0.310753404
멕시코,2020,8329.271313,52.1,4.71,-14.55673389,-7.298628312,18,55,2.432445743
모로코,2005,2018.025547,61.6,11.01,9.636130512,13.35094643,29,40,1.669099819
모로코,2006,2196.011276,56.8,9.67,8.240062632,11.85633252,31,50,2.055969595
모로코,2007,2499.259938,52,9.56,15.01705389,5.205210533,28,49,-0.154395843
모로코,2008,2890.360715,45.4,9.57,13.84799871,-2.480992754,26,49,-4.89526691
모로코,2009,2866.92411,46.1,8.96,-8.36413106,-9.181371915,31,52,-5.351425243
모로코,2010,2839.92612,49,9.09,7.828034296,17.85123022,33,51,-4.210798236
모로코,2011,3046.947854,52.5,8.91,9.075178618,5.610735931,34,50,-7.891448154
모로코,2012,2912.658275,58.2,8.99,3.349624738,2.653153737,33,50,-9.74013167
모로코,2013,3121.680081,61.7,9.23,-0.071429074,-0.01958396,29,48,-7.342825112
모로코,2014,3171.699192,63.4,9.7,3.828573454,9.009302869,30,50,-5.993088732
모로코,2015,2875.257985,63.7,9.46,-1.063686962,5.48544147,34,49,-2.135501854
모로코,2016,2896.722196,64.9,9.3,14.45761202,5.975095559,34,45,-4.045690507
모로코,2017,3035.454433,65.1,9.19,7.912909362,11.05229397,31,45,-3.35262906
모로코,2018,3226.982794,65.2,9.08,7.41951118,6.042870203,35,42,-5.254366713
모로코,2019,3230.409722,64.8,9.01,3.360074809,6.228683617,33,46,-3.676269123
