국가별,시점,신용등급점수
카메룬,2010,6
카메룬,2011,6
카메룬,2012,6
카메룬,2013,6
카메룬,2014,6
카메룬,2015,6
카메룬,2016,6
카메룬,2017,6
카메룬,2018,6
카메룬,2019,6
카메룬,2020,5
카자흐스탄,2005,12
카자흐스탄,2006,11.6
카자흐스탄,2007,11.67
카자흐스탄,2008,11
카자흐스탄,2009,11.2
카자흐스탄,2010,11.67
카자흐스탄,2011,12.5
카자흐스탄,2012,13
카자흐스탄,2013,12
카자흐스탄,2014,13
카자흐스탄,2015,12
카자흐스탄,2016,11.5
카자흐스탄,2017,11
카자흐스탄,2018,11
카자흐스탄,2019,11
카자흐스탄,2020,11
캐나다,2005,20
캐나다,2006,20
캐나다,2007,20
캐나다,2008,20
캐나다,2009,20
캐나다,2010,20
캐나다,2011,20
캐나다,2012,20
캐나다,2013,20
캐나다,2014,20
캐나다,2015,20
캐나다,2016,20
캐나다,2017,20
캐나다,2018,20
캐나다,2019,20
캐나다,2020,19
코스타리카,2005,9
코스타리카,2006,9.5
코스타리카,2007,9.5
코스타리카,2008,9.33
코스타리카,2009,9.33
코스타리카,2010,11
코스타리카,2011,10
코스타리카,2012,10
코스타리카,2013,11
코스타리카,2014,10
코스타리카,2015,10
코스타리카,2016,9
코스타리카,2017,9
코스타리카,2018,8.2
코스타리카,2019,7
코스타리카,2020,6
콜롬비아,2005,9
콜롬비아,2006,9.25
콜롬비아,2007,9.67
콜롬비아,2008,10
콜롬비아,2009,11
콜롬비아,2010,10
콜롬비아,2011,11
콜롬비아,2012,11
콜롬비아,2013,11.68
콜롬비아,2014,12
콜롬비아,2015,12
콜롬비아,2016,12
콜롬비아,2017,11.5
콜롬비아,2018,12
콜롬비아,2019,12
콜롬비아,2020,11.5
크로아티아,2005,11
크로아티아,2006,11
크로아티아,2007,11
크로아티아,2008,11.5
크로아티아,2009,11
크로아티아,2010,11
크로아티아,2011,11
크로아티아,2012,10.75
크로아티아,2013,10
크로아티아,2014,9.4
크로아티아,2015,9
크로아티아,2016,9
크로아티아,2017,9
크로아티아,2018,10
크로아티아,2019,10.33
크로아티아,2020,10.5
키프로스,2005,16
키프로스,2006,16
키프로스,2007,15.75
키프로스,2008,16.5
키프로스,2009,16.5
키프로스,2010,15.5
키프로스,2011,13.83
키프로스,2012,7.81
키프로스,2013,3.6
키프로스,2014,5
키프로스,2015,7
키프로스,2016,7.5
키프로스,2017,8.83
키프로스,2018,10
키프로스,2019,10.33
키프로스,2020,11
태국,2005,13
태국,2006,13
태국,2007,13
태국,2008,13
태국,2009,12
태국,2010,13
태국,2011,13
태국,2012,13
태국,2013,13
태국,2014,13
태국,2015,13
태국,2016,13
태국,2017,13
태국,2018,13
태국,2019,13
태국,2020,13
터키,2005,7.75
터키,2006,8
터키,2007,8
터키,2008,8
터키,2009,8.5
터키,2010,9.25
터키,2011,10
터키,2012,10
터키,2013,10.67
터키,2014,10.5
터키,2015,10.5
터키,2016,10
터키,2017,9.67
터키,2018,8.33
터키,2019,7.67
터키,2020,7
파라과이,2005,5
파라과이,2006,5
파라과이,2007,5
