국가별,시점,외환보유액
네덜란드,2013,46250
네덜란드,2014,42921
네덜란드,2015,38205
네덜란드,2016,36133
네덜란드,2017,38442
네덜란드,2018,38468
네덜란드,2019,43285
네덜란드,2020,54038
노르웨이,2000,27854
노르웨이,2001,23538
노르웨이,2002,32403
노르웨이,2003,37711
노르웨이,2004,44308
노르웨이,2005,46986
노르웨이,2006,56842
노르웨이,2007,60840
노르웨이,2008,50950
노르웨이,2009,48859
노르웨이,2010,53215
노르웨이,2011,49397
노르웨이,2012,51856
노르웨이,2013,58283
노르웨이,2014,64801
노르웨이,2015,57456
노르웨이,2016,60445
노르웨이,2017,65924
노르웨이,2018,63145
노르웨이,2019,66946
노르웨이,2020,75259
폴란드,2000,27464
폴란드,2001,26563
폴란드,2002,29784
폴란드,2003,33960
폴란드,2004,36773
폴란드,2005,42561
폴란드,2006,48474
폴란드,2007,65734
폴란드,2008,62168
폴란드,2009,79576
폴란드,2010,93488
폴란드,2011,97856
폴란드,2012,108902
폴란드,2013,106212
폴란드,2014,100430
폴란드,2015,94910
폴란드,2016,114372
폴란드,2017,113267
폴란드,2018,116957
폴란드,2019,128392
폴란드,2020,154219
포르투갈,2000,14262
포르투갈,2001,15060
포르투갈,2002,17701
포르투갈,2003,12813
포르투갈,2004,11684
포르투갈,2005,10364
포르투갈,2006,9883
포르투갈,2007,11546
포르투갈,2008,11948
포르투갈,2009,15985
포르투갈,2010,20995
포르투갈,2011,21336
포르투갈,2012,22658
포르투갈,2013,17552
포르투갈,2014,19618
포르투갈,2015,19397
포르투갈,2016,25132
포르투갈,2017,26109
포르투갈,2018,24943
포르투갈,2019,24981
포르투갈,2020,29502
슬로바키아,2000,4075
슬로바키아,2001,4186
슬로바키아,2002,9195
슬로바키아,2003,12149
슬로바키아,2004,14912
슬로바키아,2005,15480
슬로바키아,2006,13364
슬로바키아,2007,18976
슬로바키아,2008,18831
슬로바키아,2009,1821
슬로바키아,2010,2161
슬로바키아,2011,2462
슬로바키아,2012,2519
슬로바키아,2013,2150
슬로바키아,2014,2614
슬로바키아,2015,2892
슬로바키아,2016,2892
슬로바키아,2017,3622
슬로바키아,2018,5231
슬로바키아,2019,7167
슬로바키아,2020,9347
슬로베니아,2000,3196
슬로베니아,2001,4397
슬로베니아,2002,7063
슬로베니아,2003,8598
슬로베니아,2004,8899
슬로베니아,2005,8160
슬로베니아,2006,7139
슬로베니아,2007,1066
슬로베니아,2008,957
슬로베니아,2009,1080
